chapter,figure_file,maple_script,script_path,confidence,match_method
phenomenon,phenomenon_lorenz_xt_series,phenomenon_lorenz.mw,Figs_phenomenon/creators/phenomenon_lorenz.mw,high,content
phenomenon,phenomenon_lorenz_xt_two_series_em3,phenomenon_lorenz.mw,Figs_phenomenon/creators/phenomenon_lorenz.mw,high,content
phenomenon,phenomenon_lorenz_xt_two_series_em5,phenomenon_lorenz.mw,Figs_phenomenon/creators/phenomenon_lorenz.mw,high,content
phenomenon,phenomenon_lorenz_phasespace_close,phenomenon_lorenz.mw,Figs_phenomenon/creators/phenomenon_lorenz.mw,high,content
phenomenon,phenomenon_lorenz_phasespace_far,phenomenon_lorenz.mw,Figs_phenomenon/creators/phenomenon_lorenz.mw,high,content
phenomenon,3body,(no maple script - xfig/manual schematic),,n/a,manual
phenomenon,phenomenon_3body_example1a,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example1b,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example2a,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example2b,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example3a,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example3b,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example_sensitivity,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
phenomenon,phenomenon_3body_example_sensitivity_corot,phenomenon_3body_examples.mw,Figs_phenomenon/creators/phenomenon_3body_examples.mw,high,content
disc1d,disc1d_logist_series_r1_5,disc1d_logist_series.mws,Figs_disc1d/creators/disc1d_logist_series.mws,high,content
disc1d,disc1d_logist_series_r3_2,disc1d_logist_series.mws,Figs_disc1d/creators/disc1d_logist_series.mws,high,content
disc1d,disc1d_logist_series_r3_5,disc1d_logist_series.mws,Figs_disc1d/creators/disc1d_logist_series.mws,high,content
disc1d,disc1d_logist_series_r3_9,disc1d_logist_series.mws,Figs_disc1d/creators/disc1d_logist_series.mws,high,content
disc1d,disc1d_logist_cobweb_r2_7,disc1d_logist_cobweb.mws,Figs_disc1d/creators/disc1d_logist_cobweb.mws,high,content
disc1d,disc1d_logist_cobweb_r3_2,disc1d_logist_cobweb.mws,Figs_disc1d/creators/disc1d_logist_cobweb.mws,high,content
disc1d,disc1d_logist_cobweb_r3_9,disc1d_logist_cobweb.mws,Figs_disc1d/creators/disc1d_logist_cobweb.mws,high,content
disc1d,disc1d_logist_return_r1_5,disc1d_logist_return.mws,Figs_disc1d/creators/disc1d_logist_return.mws,high,content
